cnpj;dsc_porte;dt_carga
04742643000595;Pequena;04/06/2023
04752991000110;Grande;04/06/2023
04754270000149;Micro;04/06/2023
04759057000120;Pequena;04/06/2023
04760513000151;Pequena;04/06/2023
04798194000173;Micro;04/06/2023
04821041000108;Grande;04/06/2023
04837049000154;Micro;04/06/2023
04837490000136;Pequena;04/06/2023
04845551000107;Micro;04/06/2023
04847319000108;Micro;04/06/2023
04847813000172;Micro;04/06/2023
04856131000126;Micro;04/06/2023
04859355000191;Mei;04/06/2023
04859682000143;Micro;04/06/2023
04862367000175;Micro;04/06/2023
04866765000160;Pequena;04/06/2023
04868397000199;Pequena;04/06/2023
04870040000226;Micro;04/06/2023
04874878000107;Micro;04/06/2023
04875463000158;Micro;04/06/2023
04882405001476;Media;04/06/2023
04886413000338;Pequena;04/06/2023
04895728000180;Grande;04/06/2023
04902979000144;Grande;04/06/2023
04903827000166;Micro;04/06/2023
04907126000103;Pequena;04/06/2023
04913711000108;Grande;04/06/2023
04913711010251;Grande;04/06/2023
04921735000109;Micro;04/06/2023
04936219000158;Pequena;04/06/2023
04948706000130;Micro;04/06/2023
04956084000192;Pequena;04/06/2023
04961060000121;Media;04/06/2023
04962043000109;Micro;04/06/2023
04963924000144;Micro;04/06/2023
04966547000105;Micro;04/06/2023
04969882000159;Micro;04/06/2023
04973019000175;Pequena;04/06/2023
04979298000184;Micro;04/06/2023
04986320000113;Grande;04/06/2023
04987276000166;Micro;04/06/2023
04992828000124;Micro;04/06/2023
04994627000166;Media;04/06/2023
04995131000611;Grande;04/06/2023
05001345000183;Pequena;04/06/2023
05001385000800;Media;04/06/2023
05005873000372;Media;04/06/2023
05025818000182;Micro;04/06/2023
05035354000276;Pequena;04/06/2023
05038925000145;Grande;04/06/2023
05048549000170;Micro;04/06/2023
05063200000379;Pequena;04/06/2023
05067346000120;Pequena;04/06/2023
05079978000376;Micro;04/06/2023
05085233000158;Pequena;04/06/2023
05092218000480;Micro;04/06/2023
05096053000171;Mei;04/06/2023
05113035000150;Pequena;04/06/2023
05115005000183;Micro;04/06/2023
05115318000131;Micro;04/06/2023
05117720000155;Mei;04/06/2023
05129639000195;Micro;04/06/2023
05129794000101;Micro;04/06/2023
